Region,Goals,Value,Color
Sub-Saharan Africa,11. Sustainable Cities and Communities,46.7,#F89D2A
Sub-Saharan Africa,12. Responsible Consumption and Production,95.9,#BF8D2C
Sub-Saharan Africa,13. Climate Action,97,#407F46
Sub-Saharan Africa,14. LIfe below Water,67.7,#2097D4
Sub-Saharan Africa,15. Life on Land,66.2,#59BA48
Sub-Saharan Africa,"16. Peace, Justice and Strong Institutions",49.6,#126A9E
Sub-Saharan Africa,17. Partnerships for the Goals,47.9,#15496B
Sub-Saharan Africa,2. Zero Hunger,57.3,#DEA739
Sub-Saharan Africa,3. Good Health and Well-Being,40.5,#4CA146
Sub-Saharan Africa,4. Quality Education,42.4,#C7212E
Sub-Saharan Africa,5. Gender Equality,52.3,#EF402D
Sub-Saharan Africa,6. Clean Water and Sanitation,51.8,#27BFE6
Sub-Saharan Africa,7. Affordable and Clean Energy,54.1,#FBC412
Sub-Saharan Africa,8. Decent Work and Economic Growth,58.6,#A21D43
Sub-Saharan Africa,"9. Industry, Innovation, and Infrastructure",24.2,#F26A2E
Sub-Saharan Africa,Overall,53.5,
World,1. No Poverty,73.1,#E5233D
World,10. Reduced Inequalities,36.8,#E01583
World,11. Sustainable Cities and Communities,66.4,#F89D2A
World,12. Responsible Consumption and Production,88.8,#BF8D2C
World,13. Climate Action,86,#407F46
World,14. LIfe below Water,59.5,#2097D4
World,15. Life on Land,58.1,#59BA48
World,"16. Peace, Justice and Strong Institutions",63.4,#126A9E
World,17. Partnerships for the Goals,55.8,#15496B
World,2. Zero Hunger,64.4,#DEA739
World,3. Good Health and Well-Being,69.4,#4CA146
World,4. Quality Education,80.2,#C7212E
World,5. Gender Equality,59,#EF402D
World,6. Clean Water and Sanitation,65.4,#27BFE6
World,7. Affordable and Clean Energy,67.4,#FBC412
World,8. Decent Work and Economic Growth,68.2,#A21D43
World,"9. Industry, Innovation, and Infrastructure",60.1,#F26A2E
World,Overall,66,
